"year","population","state"
2001,21319622,"Texas"
2001,2283715,"Utah"
2001,7198362,"Virginia"
2001,612223,"Vermont"
2001,5985722,"Washington"
2001,5406835,"Wisconsin"
2001,1801481,"West Virginia"
2001,494657,"Wyoming"
2002,642337,"Alaska"
2002,4480089,"Alabama"
2002,2705927,"Arkansas"
2002,5396255,"Arizona"
2002,34871843,"California"
2002,4490406,"Colorado"
2002,3458749,"Connecticut"
2002,573158,"District of Columbia"
2002,806169,"Delaware"
2002,16689370,"Florida"
2002,8508256,"Georgia"
2002,1239613,"Hawaii"
2002,2934234,"Iowa"
2002,1340372,"Idaho"
2002,12525556,"Illinois"
2002,6155967,"Indiana"
2002,2713535,"Kansas"
2002,4089875,"Kentucky"
2002,4497267,"Louisiana"
2002,6417206,"Massachusetts"
2002,5440389,"Maryland"
2002,1295960,"Maine"
2002,10015710,"Michigan"
2002,5018935,"Minnesota"
2002,5674825,"Missouri"
2002,2858681,"Mississippi"
2002,911667,"Montana"
2002,8326201,"North Carolina"
2002,638168,"North Dakota"
2002,1728292,"Nebraska"
2002,1269089,"New Hampshire"
2002,8552643,"New Jersey"
2002,1855309,"New Mexico"
2002,2173791,"Nevada"
2002,19137800,"New York"
2002,11407889,"Ohio"
2002,3489080,"Oklahoma"
2002,3513424,"Oregon"
2002,12331031,"Pennsylvania"
2002,1065995,"Rhode Island"
2002,4107795,"South Carolina"
2002,760020,"South Dakota"
2002,5795918,"Tennessee"
2002,21690325,"Texas"
2002,2324815,"Utah"
2002,7286873,"Virginia"
2002,615442,"Vermont"
2002,6052349,"Washington"
2002,5445162,"Wisconsin"
2002,1805414,"West Virginia"
2002,500017,"Wyoming"
2003,648414,"Alaska"
2003,4503491,"Alabama"
2003,2724816,"Arkansas"
2003,5510364,"Arizona"
2003,35253159,"California"
2003,4528732,"Colorado"
2003,3484336,"Connecticut"
2003,568502,"District of Columbia"
2003,818003,"Delaware"
2003,17004085,"Florida"
2003,8622793,"Georgia"
2003,1251154,"Hawaii"
2003,2941999,"Iowa"
2003,1363380,"Idaho"
2003,12556006,"Illinois"
2003,6196638,"Indiana"
2003,2723004,"Kansas"
2003,4117170,"Kentucky"
2003,4521042,"Louisiana"
2003,6422565,"Massachusetts"
2003,5496269,"Maryland"
2003,1306513,"Maine"
2003,10041152,"Michigan"
2003,5053572,"Minnesota"
2003,5709403,"Missouri"
2003,2868312,"Mississippi"
2003,919630,"Montana"
2003,8422501,"North Carolina"
2003,638817,"North Dakota"
2003,1738643,"Nebraska"
2003,1279840,"New Hampshire"
2003,8601402,"New Jersey"
2003,1877574,"New Mexico"
2003,2248850,"Nevada"
2003,19175939,"New York"
2003,11434788,"Ohio"
2003,3504892,"Oklahoma"
2003,3547376,"Oregon"
2003,12374658,"Pennsylvania"
2003,1071342,"Rhode Island"
2003,4150297,"South Carolina"
2003,763729,"South Dakota"
2003,5847812,"Tennessee"
2003,22030931,"Texas"
2003,2360137,"Utah"
2003,7366977,"Virginia"
2003,617858,"Vermont"
2003,6104115,"Washington"
2003,5479203,"Wisconsin"
2003,1812295,"West Virginia"
2003,503453,"Wyoming"
2004,659286,"Alaska"
2004,4530729,"Alabama"
2004,2749686,"Arkansas"
2004,5652404,"Arizona"
2004,35574576,"California"
2004,4575013,"Colorado"
2004,3496094,"Connecticut"
2004,567754,"District of Columbia"
2004,830803,"Delaware"
2004,17415318,"Florida"
