State,Overall Homeless,Year
Utah,3025,2015
Virginia,7001,2015
Virgin Islands,337,2015
Vermont,1523,2015
Washington,19419,2015
Wisconsin,6057,2015
West Virginia,1835,2015
Wyoming,798,2015
Alaska,1784,2014
Alabama,4561,2014
Arkansas,2936,2014
Arizona,10495,2014
California,113952,2014
Colorado,10028,2014
Connecticut,4450,2014
District of Columbia,7748,2014
Delaware,901,2014
Florida,41542,2014
Georgia,16521,2014
Guam,1356,2014
Hawaii,6918,2014
Iowa,3122,2014
Idaho,2104,2014
Illinois,13107,2014
Indiana,5971,2014
Kansas,2783,2014
Kentucky,5089,2014
Louisiana,4606,2014
Massachusetts,21237,2014
Maryland,7856,2014
Maine,2726,2014
Michigan,12227,2014
Minnesota,8377,2014
Missouri,7282,2014
Mississippi,2226,2014
Montana,1745,2014
North Carolina,11491,2014
North Dakota,1258,2014
Nebraska,3026,2014
New Hampshire,1376,2014
New Jersey,11671,2014
New Mexico,2746,2014
Nevada,8582,2014
New York,80590,2014
Ohio,11823,2014
Oklahoma,4191,2014
Oregon,12164,2014
Pennsylvania,15333,2014
Puerto Rico,4132,2014
Rhode Island,1190,2014
South Carolina,5057,2014
South Dakota,885,2014
Tennessee,9415,2014
Texas,28495,2014
Utah,3081,2014
Virginia,7020,2014
Virgin Islands,448,2014
Vermont,1559,2014
Washington,18442,2014
Wisconsin,6055,2014
West Virginia,2013,2014
Wyoming,757,2014
Alaska,1946,2013
Alabama,4689,2013
Arkansas,3812,2013
Arizona,10562,2013
California,118552,2013
Colorado,9754,2013
Connecticut,4448,2013
District of Columbia,6865,2013
Delaware,946,2013
Florida,47862,2013
Georgia,16971,2013
Guam,1271,2013
Hawaii,6335,2013
Iowa,3084,2013
Idaho,1781,2013
Illinois,13425,2013
Indiana,6096,2013
Kansas,2693,2013
Kentucky,5245,2013
Louisiana,5226,2013
Massachusetts,19029,2013
Maryland,8205,2013
Maine,3016,2013
Michigan,11527,2013
Minnesota,8214,2013
Missouri,8581,2013
Mississippi,2403,2013
Montana,1878,2013
North Carolina,12168,2013
North Dakota,2069,2013
Nebraska,3145,2013
New Hampshire,1447,2013
New Jersey,12002,2013
New Mexico,2819,2013
Nevada,7039,2013
New York,77430,2013
Ohio,12325,2013
Oklahoma,4408,2013
Oregon,13822,2013
Pennsylvania,15086,2013
Puerto Rico,4128,2013
Rhode Island,1384,2013
South Carolina,6544,2013
South Dakota,1094,2013
Tennessee,9528,2013
Texas,29615,2013
Utah,3277,2013
Virginia,7625,2013
Virgin Islands,482,2013
Vermont,1454,2013
Washington,17760,2013
Wisconsin,6104,2013
West Virginia,2240,2013
Wyoming,953,2013
Alaska,1913,2012
Alabama,5209,2012
Arkansas,4214,2012
Arizona,11302,2012
California,120098,2012
Colorado,16768,2012
Connecticut,4209,2012
District of Columbia,6954,2012
Delaware,1008,2012
Florida,55170,2012
Georgia,20516,2012
Guam,1301,2012
Hawaii,6246,2012
Iowa,2928,2012
Idaho,1968,2012
Illinois,14144,2012
Indiana,6259,2012
Kansas,2684,2012
Kentucky,5230,2012
Louisiana,7772,2012
Massachusetts,17501,2012
Maryland,9454,2012
Maine,2393,2012
Michigan,12592,2012
Minnesota,7744,2012
Missouri,10237,2012
Mississippi,2413,2012
Montana,1833,2012
North Carolina,13524,2012
North Dakota,688,2012
Nebraska,3789,2012
New Hampshire,1496,2012
New Jersey,13025,2012
New Mexico,3245,2012
Nevada,8497,2012
New York,69566,2012
