"state","year","inflation"
"Maryland",2004,2.394256775
"Maryland",2005,3.82563425
"Maryland",2006,3.624901575
"Maryland",2007,3.88654325
"Maryland",2008,6.35716855
"Maryland",2009,0.025200475
"Maryland",2010,2.4370339975
"Maryland",2011,3.94195125
"Maryland",2012,2.21077135
"Maryland",2013,-0.13400874475
"Maryland",2014,0.9292351255
"Maryland",2015,-0.6184596975
"Maryland",2016,2.4761407575
"Maryland",2017,1.765439525
"Massachusetts",1978,3.235547375
"Massachusetts",1979,6.6780603
"Massachusetts",1980,8.1832782
"Massachusetts",1981,6.0694326
"Massachusetts",1982,0.62629155
"Massachusetts",1983,0.213578955
"Massachusetts",1984,3.211210675
"Massachusetts",1985,2.1443702
"Massachusetts",1986,3.055984575
"Massachusetts",1989,6.17382275
"Massachusetts",1990,5.29347755
"Massachusetts",1991,5.336349025
"Massachusetts",1992,3.138329575
"Massachusetts",1993,2.541761725
"Massachusetts",1994,2.51479525
"Massachusetts",1995,1.729258275
"Massachusetts",1996,1.73182215
"Massachusetts",1997,1.943890025
"Massachusetts",1998,0.6586329225
"Massachusetts",1999,1.7356497525
"Massachusetts",2000,3.332992675
"Massachusetts",2001,3.588868375
"Massachusetts",2002,0.3218253925
"Massachusetts",2003,2.581203825
"Massachusetts",2004,3.131594775
"Massachusetts",2005,3.17872335
"Massachusetts",2006,3.944868525
"Massachusetts",2007,2.08509085
"Massachusetts",2008,4.6055026
"Massachusetts",2009,-0.0803219305
"Massachusetts",2010,3.341244
"Massachusetts",2011,3.68427325
"Massachusetts",2012,1.42904675
"Massachusetts",2013,1.51111295
"Massachusetts",2014,1.811260525
"Massachusetts",2015,-1.4383830025
"Massachusetts",2016,0.5042726475
"Massachusetts",2017,2.70499215
"Michigan",1978,6.505591875
"Michigan",1979,7.38593115
"Michigan",1980,9.180695525
"Michigan",1981,7.893897775
"Michigan",1982,3.95149095
"Michigan",1983,1.1940710425
"Michigan",1984,1.6631745
"Michigan",1985,2.181958375
"Michigan",1986,1.3110204375
"Michigan",1989,3.802144425
"Michigan",1990,4.033741175
"Michigan",1991,4.163222725
"Michigan",1992,2.591615675
"Michigan",1993,1.768291375
"Michigan",1994,3.457501725
"Michigan",1995,2.5866698
"Michigan",1996,2.396014375
"Michigan",1997,1.7236047
"Michigan",1998,1.431770325
"Michigan",1999,2.77430565
"Michigan",2000,3.168177075
"Michigan",2001,3.134029875
"Michigan",2002,2.98114025
"Michigan",2003,3.322879075
"Michigan",2004,3.091071525
"Michigan",2005,3.493558525
"Michigan",2006,3.248880775
"Michigan",2007,0.586298397
"Michigan",2008,2.20204885
"Michigan",2009,1.87765805
"Michigan",2010,2.70775545
"Michigan",2011,2.985790725
"Michigan",2012,2.067758375
"Michigan",2013,1.12642262
"Michigan",2014,2.73202765
"Michigan",2015,1.20414192
"Michigan",2016,0.6936272125
"Michigan",2017,0.73917593
"Minnesota",1978,-2.276868725
"Minnesota",1979,7.1121926
"Minnesota",1980,6.232186325
"Minnesota",1981,6.72834385
"Minnesota",1982,4.404852675
"Minnesota",1983,1.69360125
"Minnesota",1984,1.481068375
"Minnesota",1985,2.41240275
"Minnesota",1986,0.9592397475
"Minnesota",1989,2.300007525
"Minnesota",1990,2.9966405
"Minnesota",1991,2.92631055
"Minnesota",1992,2.839220025
"Minnesota",1993,3.467531975
"Minnesota",1994,1.104966975
"Minnesota",1995,1.7200907
"Minnesota",1996,2.416743975
"Minnesota",1997,2.881391825
"Minnesota",1998,1.628027
"Minnesota",1999,2.849674
"Minnesota",2000,3.194819075
"Minnesota",2001,3.8718258
"Minnesota",2002,1.4320557275
"Minnesota",2003,2.36719265
"Minnesota",2004,2.831695375
"Minnesota",2005,3.5215107
"Minnesota",2006,3.703817275
"Minnesota",2007,3.17134125
"Minnesota",2008,4.396535975
"Minnesota",2009,0.87866513
"Minnesota",2010,1.71162325
"Minnesota",2011,2.7373784
"Minnesota",2012,1.8586113
"Minnesota",2013,1.6121893525
"Minnesota",2014,1.2051710475
"Minnesota",2015,-2.10807144
"Minnesota",2016,2.0953211
"Minnesota",2017,1.119059765
"Mississippi",1989,4.298278975
"Mississippi",1990,4.496431325
"Mississippi",1991,3.68929695
"Mississippi",1992,1.71961535
"Mississippi",1993,1.851462175
"Mississippi",1994,2.827051825
"Mississippi",1995,1.8854444
"Mississippi",1996,0.8489040425
"Mississippi",1997,0.9375759825
"Mississippi",1998,1.8561794275
"Mississippi",1999,2.1802697
"Mississippi",2000,3.16955515
"Mississippi",2001,3.4782394
"Mississippi",2002,1.635484235
"Mississippi",2003,3.965894
"Mississippi",2004,2.7905564
"Mississippi",2005,3.7845565
"Mississippi",2006,3.972990325
"Mississippi",2007,3.358119025
"Mississippi",2008,5.66225005
"Mississippi",2009,3.38854075
"Mississippi",2010,1.6272044325
"Mississippi",2011,2.1670201725
"Mississippi",2012,2.33055605
"Mississippi",2013,2.1702541875
"Mississippi",2014,2.89715915
"Mississippi",2015,1.308497895
"Mississippi",2016,0.067590745
"Mississippi",2017,0.3368525525
"Missouri",1978,7.5073999
"Missouri",1979,10.602286425
"Missouri",1980,11.0911585
"Missouri",1981,9.07414845
"Missouri",1982,7.616271475
"Missouri",1983,5.220212225
"Missouri",1984,3.0475583
"Missouri",1985,2.841199575
"Missouri",1986,1.49352644
"Missouri",1989,3.985799425
"Missouri",1990,4.455242325
"Missouri",1991,2.921347375
"Missouri",1992,2.362533075
"Missouri",1993,2.655409525
"Missouri",1994,3.110780275
"Missouri",1995,1.868933175
"Missouri",1996,2.18197875
"Missouri",1997,1.89785875
"Missouri",1998,1.221821435
"Missouri",1999,1.69875514
"Missouri",2000,3.3226381
"Missouri",2001,2.611196625
"Missouri",2002,1.977304675
"Missouri",2003,2.53618605
"Missouri",2004,2.383045275
"Missouri",2005,2.166239575
"Missouri",2006,2.23484
"Missouri",2007,2.12274
"Missouri",2008,2.677282325
"Missouri",2009,1.3694943675
"Missouri",2010,1.567490265
"Missouri",2011,3.2441604
"Missouri",2012,2.53251385
"Missouri",2013,2.119232475
"Missouri",2014,1.4348922925
"Missouri",2015,0.5923042175
"Missouri",2016,1.6508968775
"Missouri",2017,2.27836155
"New Jersey",1978,4.2732587
"New Jersey",1979,4.903681475
"New Jersey",1980,9.1848743
"New Jersey",1981,7.66343365
"New Jersey",1982,3.779599375
"New Jersey",1983,1.919008625
"New Jersey",1984,2.07035845
"New Jersey",1985,1.39840863
"New Jersey",1986,1.45166322
"New Jersey",1989,3.389689975
"New Jersey",1990,2.694995
"New Jersey",1991,5.15955275
"New Jersey",1992,1.556809425
"New Jersey",1993,3.017990375
"New Jersey",1994,2.117715375
"New Jersey",1995,2.1136288
"New Jersey",1996,1.914919925
"New Jersey",1997,1.8525187
"New Jersey",1998,1.659079025
"New Jersey",1999,1.67246565
"New Jersey",2000,1.6591193
"New Jersey",2001,1.997957875
"New Jersey",2002,1.860469875
"New Jersey",2003,1.886672575
"New Jersey",2004,3.321653075
"New Jersey",2005,5.3795918
"New Jersey",2006,3.57356695
"New Jersey",2007,2.02616125
"New Jersey",2008,4.486656775
"New Jersey",2009,1.6050313275
"New Jersey",2010,2.169645025
"New Jersey",2011,3.73771645
"New Jersey",2012,2.371812425
"New Jersey",2013,1.8312232225
"New Jersey",2014,1.3209415725
"New Jersey",2015,1.2673756405
"New Jersey",2016,1.763839175
"New Jersey",2017,0.73525561313
"New York",1978,4.63411625
"New York",1979,7.0610982
"New York",1980,9.360065225
"New York",1981,8.938888225
"New York",1982,5.744218825
"New York",1983,3.990699875
"New York",1984,3.379506975
"New York",1985,1.8791603525
"New York",1986,0.401869856
"New York",1989,4.94602035
"New York",1990,4.57703875
"New York",1991,3.726449125
"New York",1992,2.4827642
"New York",1993,2.52732915
"New York",1994,2.23632605
"New York",1995,2.426692975
"New York",1996,2.385766125
"New York",1997,1.827749425
"New York",1998,1.214467415
"New York",1999,1.706203475
"New York",2000,3.184852
"New York",2001,2.63497645
"New York",2002,1.9209398725
"New York",2003,3.601644475
"New York",2004,2.3012919
"New York",2005,3.5814204
"New York",2006,2.253557155
"New York",2007,2.28152135
"New York",2008,3.469597975
"New York",2009,0.629026905
"New York",2010,2.550748325
"New York",2011,3.076864025
"New York",2012,1.7812729975
"New York",2013,1.852940275
"New York",2014,1.6993016075
"New York",2015,-0.22661344
"New York",2016,0.20858390925
"New York",2017,1.65626565
"North Carolina",1989,4.6561297
"North Carolina",1990,4.25127375
"North Carolina",1991,2.94790465
"North Carolina",1992,2.176835925
"North Carolina",1993,2.733800525
"North Carolina",1994,3.09978215
"North Carolina",1995,3.002483075
"North Carolina",1996,2.627974325
"North Carolina",1997,1.98442015
"North Carolina",1998,0.183077925
"North Carolina",1999,1.3287142685
"North Carolina",2000,3.55045655
"North Carolina",2001,2.272288975
"North Carolina",2002,0.59461
"North Carolina",2003,2.12398864
"North Carolina",2004,1.4757047575
"North Carolina",2005,2.315263225
"North Carolina",2006,1.08425301
"North Carolina",2007,2.2821026825
"North Carolina",2008,3.800503625
"North Carolina",2009,0.5012630925
"North Carolina",2010,2.1652044
"North Carolina",2011,2.529509925
"North Carolina",2012,1.07354975
"North Carolina",2013,0.31352133
"North Carolina",2014,0.4780494525
"North Carolina",2015,-0.1397604275
"North Carolina",2016,-0.04714264025
"North Carolina",2017,2.937679125
"Ohio",1978,7.498786825
"Ohio",1979,8.531056975
"Ohio",1980,11.1732245
"Ohio",1981,9.944696125
"Ohio",1982,6.871096975
"Ohio",1983,5.0111588
"Ohio",1984,3.604826025
"Ohio",1985,3.648448825
"Ohio",1986,2.863932675
"Ohio",1989,3.784435425
"Ohio",1990,3.82680565
"Ohio",1991,3.0374301
"Ohio",1992,1.95866455
"Ohio",1993,2.047615675
"Ohio",1994,2.3985139
"Ohio",1995,2.72450275
"Ohio",1996,2.3926912
"Ohio",1997,1.932589825
"Ohio",1998,1.2124195225
"Ohio",1999,1.91481505
"Ohio",2000,2.4341799
"Ohio",2001,2.318266
"Ohio",2002,0.8338374775
"Ohio",2003,2.669827575
"Ohio",2004,2.8870669
"Ohio",2005,2.872541525
"Ohio",2006,3.420692375
"Ohio",2007,2.730915025
"Ohio",2008,4.282892475
"Ohio",2009,0.6984697995
"Ohio",2010,2.588657575
"Ohio",2011,3.127185725
"Ohio",2012,2.366087075
"Ohio",2013,2.130531625
"Ohio",2014,2.328600875
"Ohio",2015,0.188782963
"Ohio",2016,0.02834005
"Ohio",2017,1.2906272925
"Oklahoma",1989,6.99785566666667
"Oklahoma",1990,3.4555484
"Oklahoma",1991,3.222604525
"Oklahoma",1992,2.9936407
"Oklahoma",1993,2.936846125
"Oklahoma",1994,0.69775637275
"Oklahoma",1995,2.24241185
"Oklahoma",1996,3.026470625
"Oklahoma",1997,2.1660116
"Oklahoma",1998,3.57368575
"Oklahoma",1999,2.0199117725
"Oklahoma",2000,3.429920725
"Oklahoma",2001,3.2822373
"Oklahoma",2002,3.117007325
"Oklahoma",2003,2.77663725
"Oklahoma",2004,4.3031941
"Oklahoma",2005,2.989694425
"Oklahoma",2006,2.0501272149
"Oklahoma",2007,1.065907715
"Oklahoma",2008,4.9941215
"Oklahoma",2009,1.4001099465
"Oklahoma",2010,0.094064303
"Oklahoma",2011,3.168238405
"Oklahoma",2012,2.0063906
"Oklahoma",2013,1.9118544475
"Oklahoma",2014,3.44702805
"Oklahoma",2015,0.576195825
"Oklahoma",2016,0.85352432
"Oklahoma",2017,1.9683689475
"Oregon",1978,3.982876825
"Oregon",1979,8.018876775
"Oregon",1980,7.654314875
"Oregon",1981,5.755138175
"Oregon",1982,5.013304725
"Oregon",1983,2.313549425
"Oregon",1984,3.498330575
"Oregon",1985,3.008139325
"Oregon",1986,4.530639175
"Oregon",1989,4.496754775
"Oregon",1990,5.530927575
"Oregon",1991,5.059158025
"Oregon",1992,3.2985152
"Oregon",1993,2.4893415
"Oregon",1994,2.208975475
"Oregon",1995,1.562615425
"Oregon",1996,3.771460075
"Oregon",1997,3.00848985
"Oregon",1998,2.019630775
"Oregon",1999,2.876956925
"Oregon",2000,3.420837275
"Oregon",2001,3.1651849
"Oregon",2002,2.3837446
"Oregon",2003,3.05759755
"Oregon",2004,2.494380775
"Oregon",2005,2.933996975
"Oregon",2006,3.596437
"Oregon",2007,3.525843725
"Oregon",2008,3.89779235
"Oregon",2009,2.609278925
"Oregon",2010,2.1911403
"Oregon",2011,3.958038875
"Oregon",2012,2.659876675
"Oregon",2013,1.184515375
"Oregon",2014,2.37930385
"Oregon",2015,1.3680601
"Oregon",2016,1.745491825
"Oregon",2017,3.322564075
"Pennsylvania",1978,6.1913126
"Pennsylvania",1979,8.494450325
"Pennsylvania",1980,9.895671175
"Pennsylvania",1981,8.01185285
"Pennsylvania",1982,4.8692555
